"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3459,394.96,531.09,93.628,-1.3071e-19,2.424e+05,1,0.09228,0.589,0.024386,1
1.3452,395.07,530.67,94.424,-1.1532e-19,2.4281e+05,1,0.093317,0.59,0.02466,1
1.3449,395.11,530.37,95.148,-3.7286e-19,2.4307e+05,1,0.094354,0.591,0.024934,1
1.3445,395.16,530.07,95.872,-6.3037e-19,2.4333e+05,1,0.095391,0.592,0.025208,1
1.3442,395.21,529.77,96.597,-8.8787e-19,2.436e+05,1,0.096428,0.593,0.025482,1
1.3439,395.26,529.47,97.321,-1.1453e-18,2.4386e+05,1,0.097465,0.594,0.025756,1
1.3436,395.3,529.17,98.045,-1.4028e-18,2.4412e+05,1,0.098502,0.595,0.02603,1
1.3432,395.35,528.87,98.77,-1.6603e-18,2.4438e+05,1,0.099538,0.596,0.026304,1
1.3429,395.4,528.57,99.494,-1.9177e-18,2.4464e+05,1,0.10058,0.597,0.026578,1
1.3426,395.44,528.27,100.22,-2.1751e-18,2.449e+05,1,0.10161,0.598,0.026852,1
1.3422,395.49,527.97,100.94,-2.4325e-18,2.4517e+05,1,0.10265,0.599,0.027126,1
1.3419,395.54,527.67,101.67,-2.6899e-18,2.4543e+05,1,0.10369,0.6,0.0274,1
1.3416,395.59,527.37,102.39,-2.9472e-18,2.4569e+05,1,0.10472,0.601,0.027674,1
1.3413,395.63,527.07,103.12,-3.2046e-18,2.4595e+05,1,0.10576,0.602,0.027948,1
1.3409,395.68,526.77,103.84,-3.4619e-18,2.4621e+05,1,0.1068,0.603,0.028222,1
1.3406,395.73,526.47,104.56,-3.7192e-18,2.4648e+05,1,0.10783,0.604,0.028496,1
1.3405,395.73,526.27,105.21,-3.8418e-18,2.4662e+05,1,0.10887,0.605,0.02877,1
1.3407,395.7,526.16,105.78,-3.8413e-18,2.4665e+05,1,0.10991,0.606,0.029044,1
1.3409,395.67,526.06,106.36,-3.8407e-18,2.4669e+05,1,0.11094,0.607,0.029318,1
1.3411,395.64,525.95,106.93,-3.8402e-18,2.4672e+05,1,0.11198,0.608,0.029592,1
1.3412,395.61,525.85,107.5,-3.8396e-18,2.4676e+05,1,0.11302,0.609,0.029866,1
1.3414,395.57,525.74,108.08,-3.839e-18,2.4679e+05,1,0.11405,0.61,0.03014,1
1.3416,395.54,525.64,108.65,-3.8385e-18,2.4683e+05,1,0.11509,0.611,0.030414,1
1.3418,395.51,525.53,109.22,-3.8379e-18,2.4686e+05,1,0.11613,0.612,0.030688,1
1.342,395.48,525.43,109.79,-3.8373e-18,2.469e+05,1,0.11717,0.613,0.030962,1
1.3421,395.45,525.32,110.37,-3.8367e-18,2.4693e+05,1,0.1182,0.614,0.031236,1
1.3423,395.42,525.22,110.94,-3.836e-18,2.4697e+05,1,0.11924,0.615,0.03151,1
1.3425,395.38,525.11,111.51,-3.8354e-18,2.47e+05,1,0.12028,0.616,0.031784,1
1.3427,395.35,525,112.09,-3.8348e-18,2.4704e+05,1,0.12131,0.617,0.032058,1
1.3428,395.32,524.9,112.66,-3.8342e-18,2.4707e+05,1,0.12235,0.618,0.032332,1
1.343,395.29,524.79,113.23,-3.8335e-18,2.4711e+05,1,0.12339,0.619,0.032606,1
1.3434,395.23,524.78,113.72,-4.0069e-18,2.4704e+05,1,0.12442,0.62,0.03288,1
1.3439,395.14,524.82,114.14,-4.2977e-18,2.4691e+05,1,0.12546,0.621,0.033154,1
1.3445,395.05,524.87,114.57,-4.5885e-18,2.4678e+05,1,0.1265,0.622,0.033428,1
1.345,394.97,524.91,115,-4.8793e-18,2.4664e+05,1,0.12753,0.623,0.033702,1
1.3456,394.88,524.96,115.42,-5.1701e-18,2.4651e+05,1,0.12857,0.624,0.033976,1
1.3461,394.8,525.01,115.85,-5.4609e-18,2.4638e+05,1,0.12961,0.625,0.03425,1
1.3466,394.71,525.05,116.27,-5.7517e-18,2.4624e+05,1,0.13064,0.626,0.034524,1
1.3472,394.63,525.1,116.7,-6.0425e-18,2.4611e+05,1,0.13168,0.627,0.034798,1
1.3477,394.54,525.14,117.13,-6.3334e-18,2.4598e+05,1,0.13272,0.628,0.035072,1
1.3482,394.45,525.19,117.55,-6.6242e-18,2.4585e+05,1,0.13375,0.629,0.035346,1
1.3488,394.37,525.23,117.98,-6.915e-18,2.4571e+05,1,0.13479,0.63,0.03562,1
1.3493,394.28,525.28,118.4,-7.2058e-18,2.4558e+05,1,0.13583,0.631,0.035894,1
1.3499,394.2,525.32,118.83,-7.4966e-18,2.4545e+05,1,0.13687,0.632,0.036168,1
1.3504,394.11,525.37,119.26,-7.7874e-18,2.4531e+05,1,0.1379,0.633,0.036442,1
1.3509,394.03,525.41,119.68,-8.0782e-18,2.4518e+05,1,0.13894,0.634,0.036716,1
1.3516,393.92,525.52,120.02,-8.1739e-18,2.4498e+05,1,0.13998,0.635,0.03699,1
1.3523,393.81,525.67,120.32,-8.1743e-18,2.4475e+05,1,0.14101,0.636,0.037264,1
1.3531,393.69,525.81,120.62,-8.1746e-18,2.4451e+05,1,0.14205,0.637,0.037538,1
1.3538,393.58,525.95,120.92,-8.175e-18,2.4428e+05,1,0.14309,0.638,0.037812,1
1.3546,393.47,526.09,121.22,-8.1753e-18,2.4405e+05,1,0.14412,0.639,0.038086,1
1.3553,393.35,526.23,121.51,-8.1757e-18,2.4381e+05,1,0.14516,0.64,0.03836,1
1.356,393.24,526.38,121.81,-8.1761e-18,2.4358e+05,1,0.1462,0.641,0.038634,1
1.3568,393.13,526.52,122.11,-8.1765e-18,2.4335e+05,1,0.14723,0.642,0.038908,1
1.3575,393.01,526.66,122.41,-8.1769e-18,2.4311e+05,1,0.14827,0.643,0.039182,1
1.3582,392.9,526.8,122.71,-8.1773e-18,2.4288e+05,1,0.14931,0.644,0.039456,1
1.359,392.78,526.94,123.01,-8.1777e-18,2.4265e+05,1,0.15034,0.645,0.03973,1
1.3597,392.67,527.08,123.31,-8.1781e-18,2.4241e+05,1,0.15138,0.646,0.040004,1
1.3605,392.56,527.23,123.6,-8.1786e-18,2.4218e+05,1,0.15242,0.647,0.040278,1
1.3612,392.44,527.37,123.9,-8.179e-18,2.4195e+05,1,0.15346,0.648,0.040552,1
1.3619,392.33,527.51,124.2,-8.1794e-18,2.4172e+05,1,0.15449,0.649,0.040826,1
1.3627,392.21,527.68,124.42,-7.7752e-18,2.4146e+05,1,0.15553,0.65,0.0411,1
1.3635,392.1,527.86,124.62,-7.2334e-18,2.4119e+05,1,0.15657,0.651,0.041374,1
1.3642,391.98,528.05,124.81,-6.6916e-18,2.4092e+05,1,0.1576,0.652,0.041648,1
1.365,391.87,528.23,125,-6.1498e-18,2.4065e+05,1,0.15864,0.653,0.041922,1
1.3658,391.75,528.42,125.2,-5.6081e-18,2.4038e+05,1,0.15968,0.654,0.042196,1
1.3666,391.64,528.6,125.39,-5.0664e-18,2.4011e+05,1,0.16071,0.655,0.04247,1
1.3673,391.52,528.78,125.58,-4.5247e-18,2.3984e+05,1,0.16175,0.656,0.042744,1
