"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2383,408.94,517.56,47.414,1.652e-17,2.3052e+05,1,0.15649,0.647,0.053655,1
1.2379,409.02,517.36,47.558,1.6401e-17,2.3073e+05,1,0.15755,0.648,0.05402,1
1.2374,409.11,517.16,47.703,1.6282e-17,2.3094e+05,1,0.15862,0.649,0.054385,1
1.2369,409.19,516.96,47.847,1.6163e-17,2.3115e+05,1,0.15968,0.65,0.05475,1
1.2365,409.28,516.75,47.991,1.6044e-17,2.3136e+05,1,0.16074,0.651,0.055115,1
1.236,409.36,516.55,48.135,1.5925e-17,2.3157e+05,1,0.16181,0.652,0.05548,1
1.2355,409.45,516.35,48.279,1.5806e-17,2.3178e+05,1,0.16287,0.653,0.055845,1
1.235,409.53,516.14,48.423,1.5687e-17,2.32e+05,1,0.16394,0.654,0.05621,1
1.2346,409.62,515.94,48.567,1.5568e-17,2.3221e+05,1,0.165,0.655,0.056575,1
1.2341,409.7,515.74,48.711,1.5449e-17,2.3242e+05,1,0.16607,0.656,0.05694,1
1.2336,409.79,515.53,48.855,1.5329e-17,2.3263e+05,1,0.16713,0.657,0.057305,1
1.2332,409.87,515.33,48.999,1.521e-17,2.3284e+05,1,0.1682,0.658,0.05767,1
1.2327,409.96,515.13,49.144,1.5091e-17,2.3305e+05,1,0.16926,0.659,0.058035,1
1.2322,410.04,514.92,49.288,1.4972e-17,2.3326e+05,1,0.17032,0.66,0.0584,1
1.2317,410.13,514.72,49.432,1.4853e-17,2.3347e+05,1,0.17139,0.661,0.058765,1
1.2313,410.21,514.52,49.576,1.4734e-17,2.3369e+05,1,0.17245,0.662,0.05913,1
1.2308,410.3,514.32,49.72,1.4615e-17,2.339e+05,1,0.17352,0.663,0.059495,1
1.2303,410.38,514.11,49.864,1.4496e-17,2.3411e+05,1,0.17458,0.664,0.05986,1
1.2298,410.47,513.91,50.008,1.4377e-17,2.3432e+05,1,0.17565,0.665,0.060225,1
1.2294,410.55,513.71,50.152,1.4258e-17,2.3453e+05,1,0.17671,0.666,0.06059,1
1.2289,410.64,513.5,50.296,1.4139e-17,2.3474e+05,1,0.17778,0.667,0.060955,1
1.2284,410.72,513.3,50.44,1.4019e-17,2.3495e+05,1,0.17884,0.668,0.06132,1
1.228,410.81,513.1,50.585,1.39e-17,2.3517e+05,1,0.17991,0.669,0.061685,1
1.2275,410.89,512.89,50.729,1.3781e-17,2.3538e+05,1,0.18097,0.67,0.06205,1
1.227,410.98,512.69,50.873,1.3662e-17,2.3559e+05,1,0.18203,0.671,0.062415,1
1.2265,411.06,512.49,51.017,1.3543e-17,2.358e+05,1,0.1831,0.672,0.06278,1
1.2261,411.15,512.29,51.161,1.3424e-17,2.3601e+05,1,0.18416,0.673,0.063145,1
1.2256,411.23,512.08,51.305,1.3305e-17,2.3622e+05,1,0.18523,0.674,0.06351,1
1.2251,411.32,511.88,51.449,1.3186e-17,2.3643e+05,1,0.18629,0.675,0.063875,1
1.2247,411.4,511.68,51.593,1.3067e-17,2.3664e+05,1,0.18736,0.676,0.06424,1
1.2242,411.49,511.47,51.737,1.2948e-17,2.3686e+05,1,0.18842,0.677,0.064605,1
1.2237,411.57,511.27,51.882,1.2829e-17,2.3707e+05,1,0.18949,0.678,0.06497,1
1.2232,411.66,511.07,52.026,1.271e-17,2.3728e+05,1,0.19055,0.679,0.065335,1
1.2228,411.74,510.86,52.17,1.2591e-17,2.3749e+05,1,0.19162,0.68,0.0657,1
1.2223,411.83,510.66,52.314,1.2471e-17,2.377e+05,1,0.19268,0.681,0.066065,1
1.2218,411.91,510.46,52.458,1.2352e-17,2.3791e+05,1,0.19374,0.682,0.06643,1
1.2214,412,510.25,52.602,1.2233e-17,2.3812e+05,1,0.19481,0.683,0.066795,1
1.2209,412.08,510.05,52.746,1.2114e-17,2.3833e+05,1,0.19587,0.684,0.06716,1
1.2204,412.17,509.85,52.89,1.1995e-17,2.3855e+05,1,0.19694,0.685,0.067525,1
1.2199,412.25,509.65,53.034,1.1876e-17,2.3876e+05,1,0.198,0.686,0.06789,1
1.2195,412.34,509.44,53.179,1.1757e-17,2.3897e+05,1,0.19907,0.687,0.068255,1
1.219,412.42,509.24,53.323,1.1638e-17,2.3918e+05,1,0.20013,0.688,0.06862,1
1.2185,412.51,509.04,53.467,1.1519e-17,2.3939e+05,1,0.2012,0.689,0.068985,1
1.2181,412.59,508.83,53.611,1.14e-17,2.396e+05,1,0.20226,0.69,0.06935,1
1.2176,412.68,508.63,53.755,1.1281e-17,2.3981e+05,1,0.20333,0.691,0.069715,1
1.2171,412.76,508.43,53.899,1.1162e-17,2.4003e+05,1,0.20439,0.692,0.07008,1
1.2166,412.85,508.22,54.043,1.1043e-17,2.4024e+05,1,0.20545,0.693,0.070445,1
1.2162,412.93,508.02,54.187,1.0924e-17,2.4045e+05,1,0.20652,0.694,0.07081,1
1.2157,413.02,507.82,54.331,1.0805e-17,2.4066e+05,1,0.20758,0.695,0.071175,1
1.2152,413.1,507.61,54.475,1.0686e-17,2.4087e+05,1,0.20865,0.696,0.07154,1
1.2148,413.19,507.41,54.62,1.0566e-17,2.4108e+05,1,0.20971,0.697,0.071905,1
1.2143,413.27,507.21,54.764,1.0447e-17,2.4129e+05,1,0.21078,0.698,0.07227,1
1.2138,413.36,507.01,54.908,1.0328e-17,2.415e+05,1,0.21184,0.699,0.072635,1
1.2133,413.44,506.8,55.052,1.0209e-17,2.4172e+05,1,0.21291,0.7,0.073,1
1.2129,413.53,506.6,55.196,1.009e-17,2.4193e+05,1,0.21397,0.701,0.073365,1
