"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.7834,329.69,649.61,35.462,1.4806e-18,1.3915e+05,1,0.10544,0.605,0.00966,1
1.7832,329.73,649.52,35.764,1.4746e-18,1.3924e+05,1,0.10645,0.606,0.009752,1
1.7829,329.76,649.43,36.066,1.4685e-18,1.3932e+05,1,0.10745,0.607,0.009844,1
1.7827,329.8,649.34,36.368,1.4624e-18,1.394e+05,1,0.10846,0.608,0.009936,1
1.7824,329.83,649.25,36.669,1.4563e-18,1.3949e+05,1,0.10946,0.609,0.010028,1
1.7821,329.87,649.16,36.971,1.4502e-18,1.3957e+05,1,0.11046,0.61,0.01012,1
1.7819,329.91,649.08,37.273,1.4441e-18,1.3966e+05,1,0.11147,0.611,0.010212,1
1.7816,329.94,648.99,37.575,1.438e-18,1.3974e+05,1,0.11247,0.612,0.010304,1
1.7813,329.98,648.9,37.876,1.4319e-18,1.3983e+05,1,0.11348,0.613,0.010396,1
1.7811,330.02,648.81,38.178,1.4258e-18,1.3991e+05,1,0.11448,0.614,0.010488,1
1.7808,330.05,648.72,38.48,1.4197e-18,1.4e+05,1,0.11549,0.615,0.01058,1
1.7805,330.09,648.64,38.782,1.4136e-18,1.4008e+05,1,0.11649,0.616,0.010672,1
1.7803,330.13,648.55,39.084,1.4074e-18,1.4016e+05,1,0.11749,0.617,0.010764,1
1.78,330.16,648.46,39.385,1.4013e-18,1.4025e+05,1,0.1185,0.618,0.010856,1
1.7797,330.2,648.37,39.687,1.3952e-18,1.4033e+05,1,0.1195,0.619,0.010948,1
1.7796,330.22,648.31,39.971,1.3927e-18,1.4039e+05,1,0.12051,0.62,0.01104,1
1.7795,330.23,648.26,40.243,1.3926e-18,1.4044e+05,1,0.12151,0.621,0.011132,1
1.7794,330.25,648.21,40.514,1.3926e-18,1.4048e+05,1,0.12252,0.622,0.011224,1
1.7793,330.26,648.16,40.786,1.3925e-18,1.4053e+05,1,0.12352,0.623,0.011316,1
